Area name,SOC code,SOC title,Est. empl.,Avg. wage,25th P,50th P,75th P,Annual wage,,Index
"Bellingham, WA",13-2011,Accountants and Auditors,691,$38.42,$30.36,$36.32,$45.91,"$79,910",,
"Bellingham, WA",11-3012,Administrative Services Managers,48,$52.08,$43.38,$47.28,$59.43,"$108,330",,
"Bellingham, WA",25-3011,"Adult Basic, Adult Secondary Education, & English as a Second Language Instructors",35,$27.56,$23.88,$23.88,$30.67,"$57,330",,
"Bellingham, WA",41-3011,Advertising Sales Agents,58,$37.12,$23.43,$35.03,$46.10,"$77,200",,
"Bellingham, WA",45-2011,Agricultural Inspectors,14,$25.51,$16.97,$30.92,$31.10,"$53,050",,
"Bellingham, WA",39-3091,Amusement and Recreation Attendants,189,$15.95,$15.13,$15.92,$16.71,"$33,180",,
"Bellingham, WA",39-2021,Animal Caretakers,217,$17.42,$14.85,$15.63,$16.50,"$36,230",,
"Bellingham, WA",17-1011,"Architects, Except Landscape and Naval",39,$35.51,$29.60,$36.17,$39.88,"$73,850",,
"Bellingham, WA",17-3011,Architectural and Civil Drafters,71,$30.59,$23.40,$28.10,$35.94,"$63,630",,
"Bellingham, WA",11-9041,Architectural and Engineering Managers,64,$78.16,$63.10,$77.18,$82.06,"$162,560",,
"Bellingham, WA",25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",31,-,-,-,-,"$57,870",,
"Bellingham, WA",25-1121,"Art, Drama, and Music Teachers, Postsecondary",72,-,-,-,-,"$72,250",,
"Bellingham, WA",53-6031,Automotive and Watercraft Service Attendants,109,$17.40,$16.05,$16.44,$17.28,"$36,190",,
"Bellingham, WA",49-3021,Automotive Body and Related Repairers,85,$23.25,$19.66,$22.22,$23.30,"$48,350",,
"Bellingham, WA",49-3023,Automotive Service Technicians and Mechanics,326,$26.06,$21.52,$24.36,$30.29,"$54,210",,
"Bellingham, WA",51-3011,Bakers,211,$17.59,$15.64,$16.95,$18.05,"$36,580",,
"Bellingham, WA",35-3011,Bartenders,487,$21.65,$14.73,$16.54,$27.83,"$45,030",,
"Bellingham, WA",49-3091,Bicycle Repairers,37,$18.28,$17.34,$18.00,$18.24,"$38,020",,
"Bellingham, WA",43-3011,Bill and Account Collectors,43,$20.84,$15.48,$19.44,$24.92,"$43,360",,
"Bellingham, WA",43-3021,Billing and Posting Clerks,292,$22.36,$18.82,$22.24,$24.14,"$46,510",,
"Bellingham, WA",25-1042,"Biological Science Teachers, Postsecondary",48,-,-,-,-,"$80,490",,
"Bellingham, WA",19-1029,"Biological Scientists, All Other",53,$41.71,$29.04,$47.73,$50.54,"$86,760",,
"Bellingham, WA",19-4021,Biological Technicians,38,$23.41,$19.18,$21.46,$25.37,"$48,690",,
"Bellingham, WA",43-3031,"Bookkeeping, Accounting, and Auditing Clerks","1,197",$23.78,$20.20,$22.84,$27.07,"$49,470",,
"Bellingham, WA",49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,246,$30.57,$24.43,$30.48,$35.82,"$63,580",,
"Bellingham, WA",53-3051,"Bus Drivers, School",274,$26.26,$24.83,$26.03,$28.00,"$54,610",,
"Bellingham, WA",13-1199,"Business Operations Specialists, All Other",841,$34.49,$26.44,$32.91,$38.71,"$71,730",,
"Bellingham, WA",25-1011,"Business Teachers, Postsecondary",96,-,-,-,-,"$92,110",,
"Bellingham, WA",51-3021,Butchers and Meat Cutters,98,$21.30,$17.92,$21.69,$23.35,"$44,300",,
"Bellingham, WA",13-1020,Buyers and Purchasing Agents,307,$32.06,$24.97,$29.56,$37.22,"$66,680",,
"Bellingham, WA",51-7011,Cabinetmakers and Bench Carpenters,89,$20.34,$17.07,$19.50,$23.25,"$42,300",,
"Bellingham, WA",25-2023,"Career/Technical Education Teachers, Middle School",14,-,-,-,-,"$85,190",,
"Bellingham, WA",25-1194,"Career/Technical Education Teachers, Postsecondary",131,$33.26,$25.15,$32.86,$39.32,"$69,170",,
"Bellingham, WA",25-2032,"Career/Technical Education Teachers, Secondary School",77,-,-,-,-,"$91,690",,
"Bellingham, WA",43-5011,Cargo and Freight Agents,177,$22.79,$19.55,$22.25,$23.60,"$47,400",,
"Bellingham, WA",47-2031,Carpenters,963,$31.60,$22.95,$29.33,$36.82,"$65,730",,
"Bellingham, WA",17-1021,Cartographers and Photogrammetrists,23,$43.48,$38.55,$43.53,$46.70,"$90,430",,
"Bellingham, WA",41-2011,Cashiers,"2,000",$16.59,$14.93,$15.77,$17.15,"$34,500",,
"Bellingham, WA",47-2051,Cement Masons and Concrete Finishers,167,$32.43,$23.22,$29.31,$39.12,"$67,460",,
"Bellingham, WA",35-1011,Chefs and Head Cooks,113,$28.86,$22.78,$28.62,$30.81,"$60,030",,
"Bellingham, WA",51-9011,Chemical Equipment Operators and Tenders,15,$25.61,$17.88,$21.61,$31.45,"$53,270",,
"Bellingham, WA",19-4031,Chemical Technicians,40,$25.35,$18.77,$22.18,$36.07,"$52,730",,
"Bellingham, WA",25-1052,"Chemistry Teachers, Postsecondary",27,-,-,-,-,"$78,070",,
