COUNTY_NAME,POPDEN_2000,POPDEN_2001,POPDEN_2002,POPDEN_2003,POPDEN_2004,POPDEN_2005,POPDEN_2006,POPDEN_2007,POPDEN_2008,POPDEN_2009,POPDEN_2010,POPDEN_2011,POPDEN_2012,POPDEN_2013,POPDEN_2014,POPDEN_2015,POPDEN_2016,POPDEN_2017,POPDEN_2018,POPDEN_2019,POPDEN_2020,POPDEN_2021,POPDEN_2022,POPDEN_2023
Adams,8.53,8.67,8.79,8.87,9.09,9.17,9.19,9.33,9.46,9.57,9.73,9.84,9.90,9.97,10.08,10.08,10.14,10.32,10.40,10.47,10.71,10.86,10.96,11.01
Asotin,32.35,32.50,32.51,32.60,32.71,32.96,33.33,33.70,33.87,33.99,33.99,34.03,34.11,34.27,34.50,34.60,34.82,35.04,35.24,35.40,35.04,35.37,35.53,35.61
Benton,83.66,85.30,87.07,89.21,91.52,93.53,95.27,96.94,98.41,100.64,103.02,104.62,105.86,107.86,109.68,110.91,112.03,113.80,116.10,118.68,121.68,123.17,124.87,126.76
Chelan,22.80,22.90,23.07,23.11,23.28,23.61,23.93,24.23,24.58,24.71,24.81,24.89,25.06,25.20,25.44,25.69,25.99,26.31,26.64,26.85,27.09,27.39,27.61,27.9
Clallam,36.90,37.21,37.60,37.90,38.36,38.90,39.64,40.15,40.60,40.83,41.08,41.19,41.42,41.62,41.71,41.79,42.23,42.71,43.22,43.73,44.37,44.72,44.64,44.9
Clark,549.55,561.45,580.78,595.48,613.43,628.12,644.26,656.92,667.11,674.56,676.25,680.45,685.61,692.37,703.97,718.31,732.93,748.81,762.32,776.63,800.82,816.4,828.81,839.15
Columbia,4.68,4.74,4.74,4.73,4.74,4.76,4.75,4.71,4.72,4.72,4.69,4.72,4.72,4.72,4.70,4.71,4.66,4.72,4.78,4.79,4.55,4.55,4.55,4.55
Cowlitz,81.63,82.63,83.30,84.18,84.83,85.78,87.03,88.16,89.18,89.73,89.82,90.08,90.38,90.60,90.95,91.46,91.96,92.88,94.12,95.56,97.03,97.71,98.45,99.02
Douglas,17.91,18.03,18.06,18.43,18.65,18.93,19.50,19.96,20.45,20.89,21.12,21.24,21.38,21.59,21.82,21.98,22.38,22.77,23.15,23.54,23.6,23.94,24.19,24.46
Ferry,3.29,3.33,3.35,3.36,3.34,3.36,3.39,3.40,3.42,3.43,3.43,3.45,3.47,3.47,3.48,3.50,3.49,3.51,3.53,3.55,3.26,3.29,3.31,3.31
Franklin,39.72,40.63,42.08,44.19,47.15,50.36,53.42,56.01,58.14,60.46,62.92,64.81,66.42,68.27,69.72,70.16,71.38,72.72,74.50,76.22,77.92,79.21,80.34,81.43
Garfield,3.37,3.35,3.33,3.30,3.27,3.26,3.25,3.22,3.21,3.20,3.19,3.17,3.17,3.17,3.15,3.18,3.10,3.10,3.11,3.12,3.22,3.24,3.24,3.24
Grant,27.86,28.31,28.70,28.90,29.46,29.88,30.51,31.23,32.07,32.72,33.26,33.63,33.96,34.26,34.67,35.05,35.31,35.69,36.33,36.85,36.99,37.62,37.99,38.55
Grays Harbor,35.05,35.84,36.12,36.23,36.55,36.94,37.34,37.58,37.71,37.86,38.27,38.33,38.46,38.49,38.54,38.44,38.29,38.36,38.70,38.99,39.78,40,40.18,40.49
Island,343.32,345.74,350.96,353.26,357.67,364.40,370.34,375.31,376.84,377.76,376.62,378.03,380.67,382.35,383.79,386.66,397.75,397.17,402.30,406.91,416.63,417.8,420.68,422.83
Jefferson,14.50,14.70,14.96,15.07,15.29,15.63,15.90,16.12,16.33,16.41,16.56,16.66,16.73,16.78,17.02,17.12,17.24,17.39,17.51,17.69,18.28,18.35,18.49,18.53
King,817.03,825.71,836.07,841.04,847.01,853.70,867.91,880.09,889.51,898.01,912.87,918.24,925.05,936.82,953.53,970.33,995.05,1018.02,1035.28,1052.34,1073.02,1081.23,1095.72,1109.95
Kitsap,585.82,590.75,597.66,604.70,608.07,605.65,616.33,624.99,631.12,634.52,635.88,642.88,644.40,643.14,647.95,653.77,664.89,669.22,676.36,683.90,697.57,702.86,710.96,716.78
Kittitas,14.52,14.77,15.02,15.44,16.01,16.39,16.62,17.04,17.47,17.72,17.81,17.98,18.06,18.24,18.33,18.57,19.03,19.47,19.85,20.27,20.23,19.69,20.55,20.59
